Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type]
Coughlin and Ayres,Coughlin and Ayres,contributor,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Drexel and Gevers,Drexel and Gevers,contributor,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
"Ayres, Dielman and Walker | architectural firm","Ayres, Dielman and Walker",architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Roy A. Benjamin | architect,Roy A. Benjamin,architect,person,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
"Sanguinet, Staats and Boelhaune | architectural firm","Sanguinet, Staats and Boelhaune",architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
J. Flood Walker | archtitect,J. Flood Walker,archtitect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Birdsall Briscoe | architect,Birdsall Briscoe,architect,person,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Herbert M. Greene | architect,Herbert M. Greene,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Alfred C. Finn | architect,Alfred C. Finn,architect,person,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Nicholas J. Clayton,Nicholas J. Clayton,contributor,person,,,,,,,,,
"Dielmann, Leo M.J.  (1847-1961)","Dielmann, Leo M.J.",contributor,person,,,,,,,,,
"Geddes, Norman Bel","Geddes, Norman Bel",contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Trost,Henry Trost,contributor,person,,,,,,,,,
"Barnes, Landes, Goodman","Barnes, Landes, Goodman",contributor,coorporate,,,,,,,,,
"Bell, Klein and Hoffman","Bell, Klein and Hoffman",contributor,coorporate,,,,,,,,,
Brooks and Barr,Brooks and Barr,contributor,coorporate,,,,,,,,,
"Brooks, Barr, Graeber, and White","Brooks, Barr, Graeber, and White",contributor,coorporate,,,,,,,,,
"Fehr, Arthur","Fehr, Arthur",contributor,person,,,,,,,,,
Graeber Simmons and Cowan | architects,Graeber Simmons and Cowan,architects,coorporate,,,,,,,,,
"Granger, Charles T.","Granger, Charles T.",contributor,person,,,,,,,,,
August Watkins Harris,August Watkins Harris,contributor,person,,,,,,,,,
David Hoffman and Company,David Hoffman and Company,contributor,coorporate,,,,,,,,,
"Jackson, Robert","Jackson, Robert",contributor,person,,,,,,,,,
Jessen and Jessen,Jessen and Jessen,contributor,coorporate,,,,,,,,,
J. H. Eccleston Johnston Jr.,J. H. Eccleston Johnston Jr.,contributor,person,,,,,,,,,
"Ketchum, W. E.","Ketchum, W. E.",contributor,person,,,,,,,,,
"Kreisle, Ed","Kreisle, Ed",contributor,person,,,,,,,,,
"Kuehne, Brooks and Barr","Kuehne, Brooks and Barr",contributor,coorporate,,,,,,,,,
"Kuehne, Hugo F.","Kuehne, Hugo F.",contributor,person,,,,,,,,,
Lundgren and Maurer | architect,Lundgren and Maurer,architect,coorporate,,,,,,,,,
Elijah E. Myers,Elijah E. Myers,contributor,person,,,,,,,,,
Chartier Newton,Chartier Newton,contributor,person,,,,,,,,,
Niggli and Gustafson,Niggli and Gustafson,contributor,coorporate,,,,,,,,,
Page Brothers | architectural firm,Page Brothers,architectural firm,person,,,,,,,,,
C. H. Page,C. H. Page,contributor,person,,,,,,,,,
Page Southerland Page | architectural firm,Page Southerland Page,architectural firm,coorporate,,,,,,,,,
John Linn Scott,John Linn Scott,contributor,person,,,,,,,,,
Roger Q. Small,Roger Q. Small,contributor,person,,,,,,,,,
Arthur O. Watson,Arthur O. Watson,contributor,person,,,,,,,,,
J. Roy White,J. Roy White,contributor,person,,,,,,,,,
Ruffini,Ruffini,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Cima Malek - Aslani,Cima Malek - Aslani,contributor,person,,,,,,,,,
Trost and Trost,Trost and Trost,contributor,coorporate,,,,,,,,,
Percy McGhee,Percy McGhee,contributor,person,,,,,,,,,
"Dunne, W. Scott","Dunne, W. Scott",contributor,person,,,,,,,,,
Guy A. Carlander,Guy A. Carlander,contributor,coorporate,,,,,,,,,
E. F. Rittenberry,E. F. Rittenberry,contributor,person,,,,,,,,,
"Gideon, Samuel E.","Gideon, Samuel E.",contributor,person,,,,,,,,,
William Ward Watkin | architect,William Ward Watkin,architect,person,,,,,,,,,
Hare and Hare | landscape architects,Hare and Hare,landscape architects,coorporate,,,,,,,,,
"Kessler, George","Kessler, George",contributor,person,,,,,,,,,
MacKie and Kamrath,MacKie and Kamrath,contributor,coorporate,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
Moore Grover Harper,Moore Grover Harper,contributor,person,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles Moore,Charles Moore,contributor,person,,,,,,,,,
"Cooper, Eckstut Associates","Cooper, Eckstut Associates",contributor,coorporate,,,,,,,,,
Vollmer Associates,Vollmer Associates,contributor,coorporate,,,,,,,,,
Moore Ruble Yudell,Moore Ruble Yudell,contributor,person,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
"Sasaki Associates, Inc.","Sasaki Associates, Inc.",contributor,coorporate,,,,,,,,,
Allen and Collens and Felix A. Burrton,Allen and Collens and Felix A. Burrton,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Urban Innovations Group,Urban Innovations Group,contributor,coorporate,,,,,,,,,
James Stewart Polshek and Partners,James Stewart Polshek and Partners,contributor,coorporate,,,,,,,,,
Centerbrook,Centerbrook,contributor,person,,,,,,,,,
Moore/Andersson Architects,Moore/Andersson Architects,contributor,coorporate,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Brian Mackay-Lyons Architecture & Urban Design,Brian Mackay-Lyons Architecture & Urban Design,contributor,coorporate,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
Fraser Thomson & Associates,Fraser Thomson & Associates,contributor,coorporate,,,,,,,,,
Charles W. Moore; Urban Innovations Group,Charles W. Moore,contributor,person,Urban Innovations Group,contributor,coorporate,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
Greene and Greene,Greene and Greene,contributor,coorporate,,,,,,,,,
Osler Milling Architects Inc.,Osler Milling Architects Inc.,contributor,coorporate,,,,,,,,,
Charles W. Moore; John M. Woolbridge | achitects & planners,Charles W. Moore,contributor,person,John M. Woolbridge,achitects & planners,person,,,,,,
Charles W. Moore Associates,Charles W. Moore Associates,contributor,coorporate,,,,,,,,,
Moore Grover Harper,Moore Grover Harper,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
Moore & Andersson,Moore & Andersson,contributor,coorporate,,,,,,,,,
Moore and Anderson (see notes),Moore and Anderson (see notes),contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
Charles W. Moore; Urban Innovations Group,Charles W. Moore,contributor,person,Urban Innovations Group,contributor,coorporate,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
MLTW/Moore Turnbull,MLTW/Moore Turnbull,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
Urban Innovations Group,Urban Innovations Group,contributor,coorporate,,,,,,,,,
Moore Ruble Yudell,Moore Ruble Yudell,contributor,person,,,,,,,,,
Urban Innovations Group,Urban Innovations Group,contributor,coorporate,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
WZMH Group,WZMH Group,contributor,coorporate,,,,,,,,,
Charles W. Moore; D. Weingarten,Charles W. Moore,contributor,person,D. Weingarten,contributor,person,,,,,,
Charles W. Moore; Urban Innovations Group,Charles W. Moore,contributor,person,Urban Innovations Group,contributor,coorporate,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
Kite and Associates,Kite and Associates,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
MLTW/Turnbull,MLTW/Turnbull,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Skidmore Owings Merrill; Venturi Rauch & Scott Brown, Gehry; Studio di Architettura",Skidmore Owings Merrill,contributor,coorporate,"Venturi Rauch & Scott Brown, Gehry",contributor,coorporate,Studio di Architettura,contributor,coorporate,,,
Charles W. Moore; Urban Innovations Design Group,Charles W. Moore,contributor,person,Urban Innovations Design Group,contributor,coorporate,,,,,,
Moore Grover Harper,Moore Grover Harper,contributor,person,,,,,,,,,
Moore Ruble Yudell,Moore Ruble Yudell,contributor,person,,,,,,,,,
"Moore, Lyndon, Halprin","Moore, Lyndon, Halprin",contributor,person,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
William Turnbull Associates,William Turnbull Associates,contributor,coorporate,,,,,,,,,
Charles Moore & William Turnbull,Charles Moore & William Turnbull,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
"Rothzeid Kaiserman & Thomson, P.C.","Rothzeid Kaiserman & Thomson, P.C.",contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
Moore Ruble Yudell,Moore Ruble Yudell,contributor,person,,,,,,,,,
The Ratcliff Architects,The Ratcliff Architects,contributor,coorporate,,,,,,,,,
Urban Innovations Group,Urban Innovations Group,contributor,coorporate,,,,,,,,,
Moore Ruble Yudell,Moore Ruble Yudell,contributor,person,,,,,,,,,
Minzenmayer / McGee AIA Architects,Minzenmayer / McGee AIA Architects,contributor,coorporate,,,,,,,,,
Urban Innovations Group,Urban Innovations Group,contributor,coorporate,,,,,,,,,
Herbert M. Greene LaRoche and Dahl | university architects,Herbert M. Greene LaRoche and Dahl,university architects,coorporate,,,,,,,,,
Herbert M. Greene LaRoche & Dahl | architects,Herbert M. Greene LaRoche & Dahl,architects,coorporate,,,,,,,,,
Paul Philippe Cret | consulting architect,Paul Philippe Cret,consulting architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Raymond Everett,Raymond Everett,contributor,person,,,,,,,,,
Fooshee and Cheek | architectural firm,Fooshee and Cheek,architectural firm,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Preston M. Geren,Preston M. Geren,contributor,person,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,
Louis I. Kahn,Louis I. Kahn,contributor,person,,,,,,,,,
Preston M. Geren,Preston M. Geren,contributor,person,,,,,,,,,
Goldsmith & Van Vleck,Goldsmith & Van Vleck,contributor,coorporate,,,,,,,,,
Van Vleck and Goldsmith | architects,Van Vleck and Goldsmith,architects,coorporate,,,,,,,,,
Goldsmith & Van Vleck,Goldsmith & Van Vleck,contributor,coorporate,,,,,,,,,
Roland I. Markwith,Roland I. Markwith,contributor,coorporate,,,,,,,,,
Bertram G. Goodhue,Bertram G. Goodhue,contributor,person,,,,,,,,,
James Riely Gordon,James Riely Gordon,contributor,person,,,,,,,,,
Alfred Zucker,Alfred Zucker,contributor,person,,,,,,,,,
Harwell Hamilton Harris,Harwell Hamilton Harris,contributor,person,,,,,,,,,
Aubrey Horn | architect,Aubrey Horn,architect,person,,,,,,,,,
Harwell Hamilton Harris,Harwell Hamilton Harris,contributor,person,,,,,,,,,
Stewart King,Stewart King,contributor,person,,,,,,,,,
Gehry Dworsky,Gehry Dworsky,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Mark Lemmon,Mark Lemmon,contributor,person,,,,,,,,,
Joseph N. Lacy | architect,Joseph N. Lacy,architect,person,,,,,,,,,
C. V. Seutter,C. V. Seutter,contributor,person,,,,,,,,,
Donald L.A. Oschwald,Donald L.A. Oschwald,contributor,person,,,,,,,,,
I. M. Pei & Partners,I. M. Pei & Partners,contributor,coorporate,,,,,,,,,
Wiley G. Clarkson and company | architects,Wiley G. Clarkson and company,architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Enslie Oglesby,Enslie Oglesby,contributor,person,,,,,,,,,
Fehr and Granger,Fehr and Granger,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Golemon and Rolfe,Golemon and Rolfe,contributor,coorporate,,,,,,,,,
Broad and Nelson,Broad and Nelson,contributor,coorporate,,,,,,,,,
"Wilson, Morris, Crain and Anderson | architectural firm","Wilson, Morris, Crain and Anderson",architectural firm,coorporate,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Noonan and Krocker,Noonan and Krocker,contributor,coorporate,,,,,,,,,
Paul Rudolph | architect,Paul Rudolph,architect,person,,,,,,,,,
Page Southerland Page | architectural firm,Page Southerland Page,architectural firm,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Phelps, Dewees & Simmons","Phelps, Dewees & Simmons",contributor,coorporate,,,,,,,,,
Phelps and Dewees,Phelps and Dewees,contributor,coorporate,,,,,,,,,
"Pearson, T. Brooks","Pearson, T. Brooks",contributor,person,,,,,,,,,
F. E. Ruffini,F. E. Ruffini,contributor,person,,,,,,,,,
Ruffini,Ruffini,contributor,person,,,,,,,,,
F. E. Ruffini,F. E. Ruffini,contributor,person,,,,,,,,,
Harvey P. Smith,Harvey P. Smith,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Sanguinet and Staats; Roy E. Lane,Sanguinet and Staats,contributor,coorporate,Roy E. Lane,contributor,person,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Marriot,Marriot,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Withers,Hedrick and Withers,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Boelhauwe","Sanguinet, Staats, and Boelhauwe",contributor,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Boelhauwe","Sanguinet, Staats, and Boelhauwe",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats and Hedrick","Sanguinet, Staats and Hedrick",contributor,coorporate,,,,,,,,,
Hedrick and Horley,Hedrick and Horley,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats and Pate","Sanguinet, Staats and Pate",contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats and Nield","Sanguinet, Staats and Nield",contributor,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Hedrick, Stanley and Lightfoot","Hedrick, Stanley and Lightfoot",contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats and Pate","Sanguinet, Staats and Pate",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Withers,Hedrick and Withers,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Hedrick, Stanley, and Morey","Hedrick, Stanley, and Morey",contributor,coorporate,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Hedrick, Stanley and Lightfoot","Hedrick, Stanley and Lightfoot",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats and Pate","Sanguinet, Staats and Pate",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Hedrick, Stanley & Morey","Hedrick, Stanley & Morey",contributor,coorporate,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick & Stanley,Hedrick & Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick & Stanley,Hedrick & Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
