unique ID,coll code,Collection,Project name,Project number,Street address,City,County,State/Province,Country,FAST Geographic,Primary archt/firm,Collaborators:,Client,Contributor notes,Notes,Number of items,AAA box #,AAA folder #,AAA roll #,Date on drawings,Date normalized,Media,Material types:,Set type,Processor,Processing completion date,Entry date:,Rev. date:,Pres. notes:,treatment completed A,treatment completed B,treatment completed C,treatment completed D,treatment completed E,Accession #,Holding institution:,Media[1],Media[2],Media[3],Media[4],Media[5],Media[6],Media_src[1],Media_src[2],Media_src[3],Media_src[4],Media_src[5],Media_src[6],Media[1][flag],Media[2][flag],Media[3][flag],Media[4][flag],Media[5][flag],Media[6][flag]
10059,FG,Fehr and Granger collection,Taylor Middle School. Remodeling.,940-TMS,,Taylor,Williamson,Texas,United States,Texas--Taylor,Fehr and Granger,,,,Original tube number: FG940-TMS.,9.0,,FGf012 dr.19B, ,1970,1970,"trace paper
paper",drawings,"architectural/measured
mechanical/plumbing/HVAC
electrical
includes interiors",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,Paper,,,,,aat,gmgpc,,,,,0,0,,,,
10060,FG,Fehr and Granger collection,St. Mary’s Episcopal Church. Parish house.,408,,Lampasas,Lampasas,Texas,United States,Texas--Lampasas,Fehr and Granger,,,,Original tube number: FG408.,11.0,,FGf013 dr.19B, ,1951,1951,trace paper,drawings,"architectural/measured
electrical
structural
industrial design/furniture",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10061,FG,Fehr and Granger collection,Hines residence (Cory Subdivision).,617,,Seneca,Oconee,South Carolina,United States,South Carolina--Seneca,Fehr and Granger,,"Hines, Edgar A.",,Original tube number: FG617.,4.0,,FGf014 dr.19B, ,1956,1956,trace paper,drawings,"architectural/measured
industrial design/furniture
includes interiors",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10062,FG,Fehr and Granger collection,Melasky residence. Bath remodeling.,665,,Taylor,Williamson,Texas,United States,Texas--Taylor,Fehr and Granger,,"Melasky, Harris",,Original tube number: FG665. formerly FGr015,1.0,, dr.19a,,1957,1957,trace paper,drawings,architectural/measured,ew/djc/nls,,Fri Jun 29 00:00:00 CDT 2007,2023-11-17 00:00:00,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10063,FG,Fehr and Granger collection,Melasky residence. Addition.,412,,Taylor,Williamson,Texas,United States,Texas--Taylor,Fehr and Granger,,"Melasky, Harris",,Original tube number: FG412.,8.0,,FGf016 dr.19B, ,1952,1952,"trace paper
prints (ex. bluelines)",drawings,"architectural/measured
electrical
includes interiors
industrial design/furniture",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,reprographic copies,,,,,aat,aat,,,,,0,0,,,,
10064,FG,Fehr and Granger collection,Watkins residence. Addition.,436,,Luling,Caldwell,Texas,United States,Texas--Luling,Fehr and Granger,,"Watkins, Pruett",,Original tube number: FG436.,3.0,,FGf017 dr.19B, ,1950,1950,trace paper,drawings,architectural/measured,ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10065,FG,Fehr and Granger collection,Texas Lutheran College. Entrance sign.,667,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,,,"Date: Sept. 3, 1957. Original tube number: FG667. formerly FGr018",1.0,, dr.19a, ,1957,1957,trace paper,drawings,architectural/measured,ew/djc/nls,,Fri Jun 29 00:00:00 CDT 2007,2023-11-17 00:00:00,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10066,FG,Fehr and Granger collection,Taylor residence.,566,,Temple,Bell,Texas,United States,Texas--Temple,Fehr and Granger,,"Taylor, W.W.",,Original tube number: FG566.,12.0,,FGf019 dr.19B, ,1955,1955,trace paper,drawings,"architectural/measured
structural
mechanical/plumbing/HVAC
electrical
includes interiors
industrial design/furniture",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10067,FG,Fehr and Granger collection,Schroeder residence.,428,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,"Schroeder, R.E.",,Original tube number: FG428.,12.0,,FGf020 dr.19B, ,1951,1951,trace paper,"drawings
specifications","architectural/measured
structural
includes interiors
industrial design/furniture",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
13671,FG,Fehr and Granger collection,Gee residence. Proposed.,701,403 East Fifteenth Steet,Austin,Travis,Texas,United States,Texas--Austin,Fehr and Granger,,"Gee, Tom",,"Original tube number: 701 P. Date: May 28, 1959. Removed one blue line for discard.",,,,FGr021,1959,1959,"trace paper
paper",drawings,"architectural/measured
presentation
design/studies and sketches
includes interiors",rh,,Wed Jun 06 00:00:00 CDT 2007,,E fasteners/rehouse,,,,,y,2006036.0,,tracing paper,Paper,,,,,aat,gmgpc,,,,,0,0,,,,
13672,FG,Fehr and Granger collection,Westmoreland residence. Additions.,433a,1114 Maple St.,Lockhart,Caldwell,Texas,United States,Texas--Lockhart,Fehr and Granger,,"Westmoreland, E.R.",,"Original tube number: 443 WD. Date: October 26, 1950.",,,,FGr022,1950,1950,,drawings,architectural/measured,rh,,Wed Jun 06 00:00:00 CDT 2007,,E fasteners/rehouse,,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13673,FG,Fehr and Granger collection,Lichtenstein’s. Betty Lee Shoes store. Remodeling.,333,,Odessa,Ector,Texas,United States,Texas--Odessa,Fehr and Granger,,"Lichenstein, Sam",,"Original tube number: 333 WD. Date: February 5, 1949.",,,,FGr023,1949,1949,paper,"drawings
specifications",architectural/measured,rh,,Wed Jun 06 00:00:00 CDT 2007,,E fasteners/rehouse,,,,,y,2006036.0,,Paper,,,,,,gmgpc,,,,,,0,,,,,
13674,FG,Fehr and Granger collection,Woodlawn Lutheran Church. Chapel.,180,2511 Fredericksburg Road,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Fehr and Granger,J. Fred Buenz,Woodlawn Lutheran Church,,"Original tube number: 180 WD. Dates: October 6 and November 28, 1941.",,,,FGr024,1941,1941,paper,drawings,architectural/measured,rh,,Wed Jun 06 00:00:00 CDT 2007,,E fasteners/rehouse,,,,,y,2006036.0,,Paper,,,,,,gmgpc,,,,,,0,,,,,
13675,FG,Fehr and Granger collection,Pfluger lake cabin.,809,,,Travis,Texas,United States,,Fehr and Granger,,"Pfluger, Verner (Dr. and Mrs. )",,"Original tube number: 809. Date: July 16, 1963.",,,,FGr025,1963,1963,,drawings,architectural/measured,rh,,Wed Jun 06 00:00:00 CDT 2007,,E fasteners/rehouse,,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13676,FG,Fehr and Granger collection,Seguin Independent School District. Ball High School. Addition.,494,Krezdorn at Dolle Street,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,Seguin Independent School District,,"Original tube number: 494 WD. Dates: June 10 and 25, 1954.",,,,FGr026,1954,1954,,drawings,"architectural/measured
structural
mechanical/plumbing/HVAC
electrical
site/landscape 
includes interiors",rh,,Wed Jun 06 00:00:00 CDT 2007,,"E fasteners/rehouse
One sheet has small area with adhesive tape.",,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13677,FG,Fehr and Granger collection,"Packing plant (Luling, Tex.).",504,Laurel Ave at Fannin Street,Luling,Caldwell,Texas,United States,Texas--Luling,Fehr and Granger,,Luling Foundation,,"Original tube number: 504 WD. Dates: October 29, 1953, January 20-22, 1954.",,,,FGr027,1953,1953,,drawings,architectural/measured,rh,,Wed Jun 06 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13678,FG,Fehr and Granger collection,Seguin Independent School District. Mary B. Erskine School. Addition.,252,E. College and N. River Street,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,Seguin Independent School District,,"Original tube number: 252 WD. formerly FGr028 Date: May 1947and June 20, 1947.",17.0,, dr. 48c, ,1947,1947,"paper
linens
prints (ex. bluelines)",drawings,"architectural/measured
mechanical/plumbing/HVAC
structural
electrical
includes interiors",rh,,Wed Jun 06 00:00:00 CDT 2007,2023-11-17 00:00:00,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,Paper,tracing cloth,reprographic copies,,,,gmgpc,aat,aat,,,,0,0,0,,,
13679,FG,Fehr and Granger collection,"Lichtenstein’s. Betty Lee Shop (Midland, Tex.). Remodeling.",259,,Midland,Midland,Texas,United States,Texas--Midland,Fehr and Granger,,"Lichenstein, Sam",,"Original tube number: 259 WD. Date: August 2, 1947.",,,,FGr029,1947,1947,,"drawings
specifications","architectural/measured
includes interiors",rh,,Wed Jun 06 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13680,FG,Fehr and Granger collection,Easton residence.,271,,Lampasas,Lampasas,Texas,United States,Texas--Lampasas,Fehr and Granger,,"Easton, Robert O. (Mr. and Mrs. )",,"Original tube number: 271 WD. Date: December 1947, February 1948.",,,FGf030 dr.19B, ,1947,1947,,drawings,"architectural/measured
includes interiors
mechanical/plumbing/HVAC",rh,,Wed Jun 06 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,,,,,,,,,,,,,,,,,,
13681,FG,Fehr and Granger collection,Allensworth apartment building.,441,537 E. Dewey Place,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Fehr and Granger,,"Allensworth, Jack",,Original tube number: 441 WD. Date: January 1951.,,,,FGr031,1951,1951,,drawings,"architectural/measured
includes interiors",rh,,Wed Jun 06 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13682,FG,Fehr and Granger collection,Seguin Independent School District. Juan Seguin School. Kitchen. Conversion.,583,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,Seguin Independent School District,,"Original tube number: 583 WD. Date: June 3, 1955.",,,,FGr032,1955,1955,,drawings,"architectural/measured
mechanical/plumbing/HVAC
structural
electrical
includes interiors",rh,,Wed Jun 06 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13683,FG,Fehr and Granger collection,Elks Quarters. Remodeling.,427,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,Elks Club,,"Original tube number: 427 WD. Date: November 6, 1950.",,,,FGr033,1950,1950,,drawings,"architectural/measured
structural
electrical
includes interiors",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13684,FG,Fehr and Granger collection,Luling Independent School District. Rosenwald School.,604,,Luling,Caldwell,Texas,United States,Texas--Luling,Fehr and Granger,,Luling Independent School District,,"Original tube number: 604 WD. Date: April 5, May 3, and September 11, 1956.",,, , FGr034,1948-1956,1948-1956,,"drawings
specifications","architectural/measured
structural
electrical
mechanical/plumbing/HVAC",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13685,FG,Fehr and Granger collection,Texas Lutheran College. Old Main Building. Cafeteria area. Remodeling.,666,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,Texas Lutheran College,,"Original tube number: 666 WD. Dates: July 18 and August 6, 1957.",,,,FGr035,1957,1957,trace paper,drawings,architectural/measured,rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
13686,FG,Fehr and Granger collection,Texas Lutheran College. Main Building. Remodeling.,666,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Atlee B. Ayres and Robert M. Ayres | architects,,Texas Lutheran College,,"Original tube number: 666 WD. Date: May 7, 1945. Ayers blueprints found among FG drawings for Old Main Building cafeteria remodeling of 1957.",,,,FGr035,1945,1945,"trace paper
prints (ex. bluelines)",drawings,,rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,tracing paper,reprographic copies,,,,,aat,aat,,,,,0,0,,,,
13687,FG,Fehr and Granger collection,McMillin residence.,270,,Lampasas,Lampasas,Texas,United States,Texas--Lampasas,Fehr and Granger,,"McMillin, Rush (Dr. and Mrs. )",,Original tube number: 270 WD. Date: August 1948.,,,FGf036 dr.19B, ,1948,1948,,drawings,"architectural/measured
mechanical/plumbing/HVAC
includes interiors",rh,,Wed Jun 13 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,,,,,,,,,,,,,,,,,,
13688,FG,Fehr and Granger collection,South Texas Printing Co. building.,657,North Austin Street at Koepsel Street,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,South Texas Printing Co.,,"Original tube number: 657 WD. Dates: September 27 and  October 15, 1957.",,,,FGr037,1957,1957,trace paper,drawings,"design/studies and sketches
architectural/measured",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
13689,FG,Fehr and Granger collection,"First Baptist Church (Seguin, Tex.). Alterations and additions.",331,E. Mountain Street at River Street,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,First Baptist Church,,Original tube number: 331 WD. Date: could not be determined by cataloger.,,,,FGr038,undated,undated,"trace paper
sepias (use barrier sheets)",drawings,"architectural/measured
includes interiors",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,tracing paper,sepia prints,,,,,aat,aat,,,,,0,0,,,,
13690,FG,Fehr and Granger collection,Southwestern Bell Telephone Company. Dial office building.,733,Water Street,Bastrop,Bastrop,Texas,United States,Texas--Bastrop,Fehr and Granger,J. E. Anderson; R.L. Knapp.,Southwestern Bell Telephone Company,,"Original tube number: 733 WD. Date: December 9, 1960.",,,,FGr093,1960,1960,prints (ex. bluelines),"drawings
specifications","structural
mechanical/plumbing/HVAC
site/landscape 
architectural/measured",rh,,Tue Jul 10 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,reprographic copies,,,,,,aat,,,,,,0,,,,,
13691,FG,Fehr and Granger collection,Melasky store. Remodeling fire damage.,540,,Taylor,Williamson,Texas,United States,Texas--Taylor,Fehr and Granger,,"Melasky, Harris",,"Original tube number: 540 WD. Dates: January 8 and  February 8, 1954.",,,,FGr040,1954,1954,"trace paper
sepias (use barrier sheets)",drawings,"architectural/measured
mechanical/plumbing/HVAC",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,tracing paper,sepia prints,,,,,aat,aat,,,,,0,0,,,,
13692,FG,Fehr and Granger collection,Garrison residence (unbuilt).,646,,,,Texas,United States,,Fehr and Granger,,"Garrision, R.D.",,Original tube number: 646. Dates: April 5 and May 1957. Cataloger could not determine location of proposed residence.,,,,FGr041,1957,1957,"trace paper
sepias (use barrier sheets)",drawings,"architectural/measured
site/landscape 
presentation
design/studies and sketches",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,tracing paper,sepia prints,,,,,aat,aat,,,,,0,0,,,,
13693,FG,Fehr and Granger collection,San Marcos Public Library.,791,Hutchinson at Comanche Street.,San Marcos,Hays,Texas,United States,Texas--San Marcos,Fehr and Granger,,,,"Original tube number: 761. Dates: August 10 and November 1, 1965; June 21-27, 1963.",,,,FGr042,1965,1965,"trace paper
sepias (use barrier sheets)
watercolors/pastels","drawings
specifications","architectural/measured
design/studies and sketches
structural
mechanical/plumbing/HVAC
electrical",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
Pavelka: two trace paper drawings taped together, bleeding through. One of the drawings is in ink.",,,,,y,2006036.0,,tracing paper,sepia prints,watercolors (paintings),pastels (visual works),,,aat,aat,aat,local,,,0,0,0,0,,
13694,FG,Fehr and Granger collection,Brown Schools. Hillview Unit.,680,,San Marcos,Hays,Texas,United States,Texas--San Marcos,Fehr and Granger,,Brown Schools,,"Original tube number: 680. Dates: January 16 and June 16, 1958; April 14-20 and September 23, 1963. Note: removed one 12” x 24” negative showing Hillview Unit site plan from SSW.",,,,"FGr043.1;
FGr043.2",1958,1958,"trace paper
linens
watercolors/pastels
sepias (use barrier sheets)","drawings
specifications","architectural/measured
site/landscape 
presentation",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,tracing paper,tracing cloth,watercolors (paintings),pastels (visual works),sepia prints,,aat,aat,aat,local,aat,,0,0,0,0,0,
13695,FG,Fehr and Granger collection,Texas Lutheran College. Administration Building. Office spaces. Remodeling.,592 A,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,Texas Lutheran College,,"Original tube number: 592 WD. Date: July 7, 1955.",,,,FGr044,1955,1955,"trace paper
sepias (use barrier sheets)",drawings,"architectural/measured
includes interiors",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,tracing paper,sepia prints,,,,,aat,aat,,,,,0,0,,,,
13696,FG,Fehr and Granger collection,Seguin Independent School District. Jefferson Street Elementary School. Addition.,364,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,Seguin Independent School District,,"Original tube number: 364. Date: February 17, 1950.",,,,FGr045,1950,1950,sepias (use barrier sheets),"drawings
specifications","architectural/measured
includes interiors
structural
mechanical/plumbing/HVAC
electrical",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,sepia prints,,,,,,aat,,,,,,0,,,,,
13697,FG,Fehr and Granger collection,Sanger residence.,447,MacArthur Road,Waco,McLennan,Texas,United States,Texas--Waco,Fehr and Granger,,"Sanger, Philip A. (Mr. and Mrs. )",,"Original tube number: 447 WD. Date: May 18, 1951.",,,,FGr046,1951,1951,sepias (use barrier sheets),"drawings
specifications","architectural/measured
structural
mechanical/plumbing/HVAC
electrical",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,sepia prints,,,,,,aat,,,,,,0,,,,,
13698,FG,Fehr and Granger collection,McGill residence.,761,Woodland Drive,Bryan,Brazos,Texas,United States,Texas--Bryan,Fehr and Granger,,"McGill, A. G. (Dr. and Mrs.)",,"Original tube number: 761. Dates: July 27 and August 22-23, 1962. Residence is about 7200 sq. ft.",,,,FGr047.1; FGr047.2,1962,1962,"sepias (use barrier sheets)
watercolors/pastels
trace paper","drawings
specifications","architectural/measured
structural
mechanical/plumbing/HVAC
electrical
site/landscape 
presentation
design/studies and sketches",rh,,Wed Jun 13 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,sepia prints,watercolors (paintings),pastels (visual works),tracing paper,,,aat,aat,local,aat,,,0,0,0,0,,
13699,FG,Fehr and Granger collection,"American Legion Hall (Seguin, Tex.).",268,King Street at Center Street,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,American Legion,,"Original tube number: FG 261. Date: February 28 and August 28, 1948.",,,,FGr048,1948,1948,,"drawings
specifications","architectural/measured
mechanical/plumbing/HVAC
electrical",rh,,Mon Jun 18 00:00:00 CDT 2007,,"E fasteners/rehouse
",,,,,y,2006036.0,,,,,,,,,,,,,,,,,,,
13700,FG,Fehr and Granger collection,Josephine Traylor Brooking Memorial Nurses’ Home.,503,University Avenue at Fulton,Wharton,Wharton,Texas,United States,Texas--Wharton,Fehr and Granger,,Gulf Coast Medical Foundation.,,"Original tube number: 503 WD. Dates: September 29and December 10, 1953; January 22, 1954.",,,,FGr049,1953,1953,"sepias (use barrier sheets)
mylar
prints (ex. bluelines)","drawings
specifications","mechanical/plumbing/HVAC
architectural/measured
structural
electrical
site/landscape 
includes interiors",rh,,Mon Jun 18 00:00:00 CDT 2007,,"E fasteners/rehouse
Small (12”x12”) mechanical detail drawings on acetate or plastic.  Sepia sheets of similar size list the drawings found on acetate.",,,,,y,2006036.0,,sepia prints,plastic drafting film,reprographic copies,,,,aat,aat,aat,,,,0,0,0,,,
