unique ID,Project name,Place name[1],Place name[2],Place name[3],project_name_flag
9235,Burbank Junior and Senior High School. Auditorium and classroom addition.,Burbank Junior and Senior High School.Auditorium and classroom addition.,Auditorium and classroom addition,Burbank Junior and Senior High School,0
9236,Bushnell apartments.,Bushnell apartments,,,0
9237,C. W. Fenstermaker apartment.,C,,,0
9238,C.F. Urshel residence.,C.F. Urshelresidence.,F. Urshelresidence,C,0
9239,C.N. Chubb residence.,C.N. Chubbresidence.,N. Chubbresidence,C,0
9240,Cadwallader residence.,Cadwallader residence,,,0
9241,Calcasieu Building.,Calcasieu Building,,,0
9242,Callaghan Land and Pastoral Company building.,Callaghan Land and Pastoral Company building,,,0
9243,Callaghan Land and Pastoral Company one story commisary building.,Callaghan Land and Pastoral Company one story commisary building,,,0
9244,Cameron County Courthouse.,Cameron County Courthouse,,,0
9245,Carl Newton residence.,Carl Newton residence,,,0
9246,Carolyn Halff residence.,Carolyn Halff residence,,,0
9247,Carpenter Paper Company office and warehouse building.,Carpenter Paper Company office and warehouse building,,,0
9248,Casey Herschfield residence.,Casey Herschfield residence,,,0
9249,Catto Building.,Catto Building,,,0
9250,Catto Building.,Catto Building,,,0
9251,Catto Building.,Catto Building,,,0
9252,Catto Building.,Catto Building,,,0
9253,Central Park Shopping Center.,Central Park Shopping Center,,,0
9254,Chadwick ranch residence.,Chadwick ranch residence,,,0
9255,Chadwick ranch residence.,Chadwick ranch residence,,,0
9256,Chandler residence.,Chandler residence,,,0
9257,Charles Schreiner residence and servant’s quarters. Remodeling.,Charles Schreiner residence and servant’s quarters,,,0
9258,Chris Marrou residence.,Chris Marrou residence,,,0
9259,Christ Episcopal Church. Auditorium and classroom addition and remodeling.,Christ Episcopal Church.Auditorium and classroom addition and remodeling.,Auditorium and classroom addition and remodeling,Christ Episcopal Church,0
9260,Christ Episcopal Church. Carriage house property site plan.,Christ Episcopal Church.Carriagehouse property site plan.,Carriagehouse property site plan,Christ Episcopal Church,0
9261,Christ Episcopal Church. Education Building.,Christ Episcopal Church.EducationBuilding.,EducationBuilding,Christ Episcopal Church,0
9262,Christ Episcopal Church. New addition.,Christ Episcopal Church,,,0
9263,Christ Episcopal Church. Parking lot.,Christ Episcopal Church.Parking lot.,Parking lot,Christ Episcopal Church,0
9264,Christ Episcopal Church. Storage building.,Christ Episcopal Church.Storagebuilding.,Storagebuilding,Christ Episcopal Church,0
9265,Christ Episcopal Church. Unidentified projects.,Christ Episcopal Church,,,0
9266,Chuck Ennis residence. Addition.,Chuck Ennis residence,,,0
9267,"City Hall (Laredo, Tex.).","City Hall (Laredo, Tex",,,0
9268,City of San Antonio. Sections 3 and 11 plat.,City of San Antonio,,,0
9269,Civic Center (Oklahoma City). Underground parking garage.,Civic Center (Oklahoma City).Underground parkinggarage.,Underground parkinggarage,Civic Center (Oklahoma City),0
9270,"Civic center (San Antonio, Tex.). Proposed.","Civic center (San Antonio, Tex",,,0
9271,Clara Seeling Lowrey et al. Property. Plat.,Clara Seeling Lowrey et al,,,0
9272,Clark residence. Addition.,Clark residence,,,0
9273,Clifton George Jr. residence.,Clifton George Jr.residence.,residence,Clifton George Jr,0
9274,Coker Elementary School.,Coker Elementary School,,,0
9275,Carter residence.,Carter residence,,,0
9276,Coleman residence.,Coleman residence,,,0
9277,"Commercial National Bank (Beeville, Tex.).","Commercial National Bank (Beeville, Tex",,,0
9278,"Commercial National Bank (Beeville, Tex.).","Commercial National Bank (Beeville, Tex",,,0
9279,Confederate Women's Home Hospital.,Confederate Women's Home Hospital,,,0
9280,"Corpus Christi, Tx. Official Zoning Map.","Corpus Christi, Tx",,,0
9281,Crucifix Monument.,Crucifix Monument,,,0
9282,Cuero Church.,Cuero Church,,,0
9283,D.J. Atkinson residence (Marion Koogler McNay Art Institute).,D.J. Atkinsonresidence (Marion Koogler McNay Art Institute).,J. Atkinsonresidence (Marion Koogler McNay Art Institute),D,0
9284,Dallas Aquarium.,Dallas Aquarium,,,0
9285,Danvers subdivision. Topographical Survey.,Danvers subdivision,,,0
9286,Daughters of the Republic of Texas Library Wing.,Daughters of the Republic of Texas Library Wing,,,0
9287,Dave Straus residence.,Dave Straus residence,,,0
9288,David Straus residence (one story).,David Straus residence (one story),,,0
9289,David Woodward residence.,David Woodward residence,,,0
9290,Davis residence.,Davis residence,,,0
9291,Denver Hotel. Additions and alterations.,Denver Hotel,,,0
9292,Dewied Casing Company office and plant building.,Dewied Casing Company office and plant building,,,0
9293,Dewied Casing Company. Edificio de oficinas y servicios.,Dewied Casing Company,,,0
9294,"Doctor's Clinic (Laredo, Tex.).","Doctor's Clinic (Laredo, Tex",,,0
9295,"Doctor's Clinic (Laredo, Tex.).","Doctor's Clinic (Laredo, Tex",,,0
9296,Domingo Useda medical office building.,Domingo Useda medical office building,,,0
9297,Don P. Dixon project. Additions and alterations.,Don P,,,0
9298,Dr. Robbin residence.,Dr.Robbinresidence.,Robbinresidence,Dr,0
9299,E. Ugarte store building.,E.Ugarte storebuilding.,Ugarte storebuilding,E,0
9300,E.A. Baugh residence.,E.A. Baughresidence.,A. Baughresidence,E,0
9301,E.B. Chandler building.,E.B. Chandlerbuilding.,B. Chandlerbuilding,E,0
9302,E.I. Bailey residence.,E.I. Baileyresidence.,I. Baileyresidence,E,0
9303,E.J. Roe residence. Additions.,E.J. Roeresidence.,J. Roeresidence,E,0
9304,Eddison Highlands and Jefferson high schools. Girls gymnasiums additions.,Eddison Highlands and Jefferson high schools,,,0
9305,Edgar Tobin recreation building and bath house (one story).,Edgar Tobin recreation building and bath house (one story),,,0
9306,Elizabeth Hails frame residence.,Elizabeth Hails frame residence,,,0
9307,Equitable Life Insurance Company building.,Equitable Life Insurance Company building,,,0
9308,Ernest Rubsamen residence.,Ernest Rubsamen residence,,,0
9309,Express Publishing Company building. Alterations.,Express Publishing Company building,,,0
9310,Express Publishing Company office and maintenance shop.,Express Publishing Company office and maintenance shop,,,0
9311,F.L. Thompson residence.,F.L. Thompsonresidence.,L. Thompsonresidence,F,0
9312,F.T. Maessen residence.,F.T. Maessenresidence.,T. Maessenresidence,F,0
9313,Fannie L. Halff building.,Fannie L.Halffbuilding.,Halffbuilding,Fannie L,0
9314,Farmington School. Garden for the senior house.,Farmington School.Garden for the seniorhouse.,Garden for the seniorhouse,Farmington School,0
9315,Fenstermaker residence. Remodeling.,Fenstermaker residence,,,0
9316,First National Bank of San Antonio.,First National Bank of San Antonio,,,0
9317,First National Bank of San Antonio.,First National Bank of San Antonio,,,0
9318,"First Presbyterian Church (San Antonio, Tex.).","First Presbyterian Church (San Antonio, Tex",,,0
9319,Frank Brothers Building. Remodeling.,Frank Brothers Building,,,0
9320,Frank Buttram residence.,Frank Buttram residence,,,0
9321,Frank Buttram residence.,Frank Buttram residence,,,0
9322,Frank Company store.,Frank Company store,,,0
9323,Frank Gillespie Jr. commercial building. Proposed.,Frank Gillespie Jr.commercialbuilding.,commercialbuilding,Frank Gillespie Jr,0
9324,Frank Straus Company store and factory building.,Frank Straus Company store and factory building,,,0
9325,Frank Straus Company store and factory building.,Frank Straus Company store and factory building,,,0
9326,Frank Straus Company store and factory building.,Frank Straus Company store and factory building,,,0
9327,Frank Straus Company store and factory building.,Frank Straus Company store and factory building,,,0
9328,Fred Straus residence (two story).,Fred Straus residence (two story),,,0
9329,Fred W. Shield (Blackstock) residence.,Fred W.Shield (Blackstock)residence.,Shield (Blackstock)residence,Fred W,0
9330,Freestone County Courthouse.,Freestone County Courthouse,,,0
9331,Frontier Hotel.,Frontier Hotel,,,0
9332,"Frost National Bank (San Antonio, Tex.). Motor bank, parking garage and banking facilities.","Frost National Bank (San Antonio, Tex.). Motor bank, parkinggarage and banking facilities.","). Motor bank, parkinggarage and banking facilities","Frost National Bank (San Antonio, Tex",0
9333,Fulton Motel and Land Development.,Fulton Motel and Land Development,,,0
9334,G. Bedell Moore residence.,G.Bedell Mooreresidence.,Bedell Mooreresidence,G,0
9335,G.A.C. Halff residence.,G.A.C. Halffresidence.,A.C. Halffresidence,G,0
9336,G.P.M. Building. Ayres and Ayres office.,G.P.M. Building. Ayres and Ayresoffice.,P.M. Building. Ayres and Ayresoffice,G,0
9337,Gage carriage house.,Gage carriage house,,,0
9338,Gebhardt Chili Powder Company building. Additions.,Gebhardt Chili Powder Company building,,,0
9339,George Belchic residence.,George Belchic residence,,,0
9340,George Brackenridge residence.,George Brackenridge residence,,,0
9341,George C. Eichlitz residence.,George C.Eichlitzresidence.,Eichlitzresidence,George C,0
9342,George Smith residence. Sketch.,George Smith residence,,,0
9343,Gilbert Denman residence.,Gilbert Denman residence,,,0
9344,Gilbert Falbo apartment building. Proposed.,Gilbert Falbo apartment building,,,0
9345,Gilbert Lang residence. Additions.,Gilbert Lang residence,,,0
9346,Gillespie-Vance residence.,Gillespie-Vance residence,,,0
9347,Golf and Country Club.,Golf and Country Club,,,0
9348,Graham Hamilton residence.,Graham Hamilton residence,,,0
9349,Graham Hamilton residence. Addition.,Graham Hamilton residence,,,0
9350,Graham Hamilton residence. Alterations. Proposed.,Graham Hamilton residence,,,0
9351,Graves residence.,Graves residence,,,0
9352,Grey Moss Inn. Remodeling.,Grey Moss Inn,,,0
9353,"Groos National Bank (San Antonio, Tex.).","Groos National Bank (San Antonio, Tex",,,0
9354,"Groos National Bank (San Antonio, Tex.).","Groos National Bank (San Antonio, Tex",,,0
9355,"Groos National Bank (San Antonio, Tex.).","Groos National Bank (San Antonio, Tex",,,0
9356,Groust residence.,Groust residence,,,0
9357,"Gulf service station (San Antonio, Tex.).","Gulf service station (San Antonio, Tex",,,0
9358,Gunter Hotel. Ballroom and dining room.,Gunter Hotel.Ballroom and diningroom.,Ballroom and diningroom,Gunter Hotel,0
9359,Gunter Hotel. Ballroom and dining room.,Gunter Hotel.Ballroom and diningroom.,Ballroom and diningroom,Gunter Hotel,0
9360,Gus Kray residence.,Gus Kray residence,,,0
9361,H. Lutcher Brown residence.,H.Lutcher Brownresidence.,Lutcher Brownresidence,H,0
9362,H. Lutcher Brown residence.,H.Lutcher Brownresidence.,Lutcher Brownresidence,H,0
9363,H. Lutcher Brown residence. Casino and Bathhouse.,H.Lutcher Brownresidence.,Lutcher Brownresidence,H,0
9364,H. Lutcher Brown residence. Garden and Gateway.,H.Lutcher Brown residence.Garden and Gateway.,Lutcher Brown residence.Garden and Gateway,H,0
9365,H. Lutcher Brown residence. Swimming pool.,H.Lutcher Brown residence. Swimmingpool.,Lutcher Brown residence. Swimmingpool,H,0
9366,H.B. Thompson residence (two story).,H.B. Thompsonresidence (two story).,B. Thompsonresidence (two story),H,0
9367,H.B. Zachry Co. office building.,H.B. Zachry Co. officebuilding.,B. Zachry Co. officebuilding,H,0
9368,H.B. Zachry Co. office building.,H.B. Zachry Co. officebuilding.,B. Zachry Co. officebuilding,H,0
9369,H.B. Zachry Company. Apartment building.,H.B. Zachry Company. Apartmentbuilding.,B. Zachry Company. Apartmentbuilding,H,0
9370,H.B. Zachry Company. Eight unit apartment building.,H.B. Zachry Company. Eight unit apartmentbuilding.,B. Zachry Company. Eight unit apartmentbuilding,H,0
9371,H.B. Zachry Company. Garden House.,H.B. Zachry Company. GardenHouse.,B. Zachry Company. GardenHouse,H,0
9372,H.B. Zachry five houses.,H,,,0
9373,H.B. Zachry hotel.,H.B. Zachryhotel.,B. Zachryhotel,H,0
9374,H.B. Zachry housing project.,H.B. Zachryhousing project.,B. Zachryhousing project,H,0
9375,H.B. Zachry residence.,H.B. Zachryresidence.,B. Zachryresidence,H,0
9376,H.C. McKenna residence.,H.C. McKennaresidence.,C. McKennaresidence,H,0
9377,H.L. Blackstock residence.,H.L. Blackstockresidence.,L. Blackstockresidence,H,0
9378,H.M. Scherr residence.,H.M. Scherrresidence.,M. Scherrresidence,H,0
9379,Hacienda de San Augustine.,Hacienda de San Augustine,,,0
9380,Hacienda de San Augustine.,Hacienda de San Augustine,,,0
9381,Hamilton Hotel.,Hamilton Hotel,,,0
9382,Hamilton Hotel.,Hamilton Hotel,,,0
9383,Hamilton Hotel.,Hamilton Hotel,,,0
9384,Harper residence.,Harper residence,,,0
9385,Harrell Co. office building.,Harrell Co.officebuilding.,officebuilding,Harrell Co,0
9386,Harry S. Affleck Jr. residence.  Remodeling.,Harry S.Affleck Jr.residence.,Affleck Jr.residence,Harry S,0
9387,Harting residence.,Harting residence,,,0
9388,Haythorne Tourist Apartments.,Haythorne Tourist Apartments,,,0
9389,"Health building (San Antonio, Tex.). Proposed.","Health building (San Antonio, Tex",,,0
9390,Hemisfair 1968. Hotel building. Proposed.,Hemisfair 1968.Hotelbuilding.,Hotelbuilding,Hemisfair 1968,0
9391,Hemisfair 1968. United States Exhibit Pavilion.,Hemisfair 1968,,,0
9392,Herman G. Staacke residence.,Herman G.Staackeresidence.,Staackeresidence,Herman G,0
9393,"Hilton Hotel (San Antonio, Tex.). Ground floor. Remodeling.","Hilton Hotel (San Antonio, Tex.). Groundfloor.",). Groundfloor,"Hilton Hotel (San Antonio, Tex",0
9394,Hondo Hospital.,Hondo Hospital,,,0
9395,Hotel near San Antonio Convention Center.,Hotel near San Antonio Convention Center,,,0
9396,Housing and Market Development.,Housing and Market Development,,,0
9397,"Housing project (San Antonio, Tex.).","Housing project (San Antonio, Tex",,,0
9398,Hutchins Brothers Store.,Hutchins Brothers Store,,,0
9399,I.B.M. buildings.,I.B.M.buildings.,B.M.buildings,I,0
9400,J. C. Merchant store building. Remodeling.,J.C. Merchant storebuilding.,C. Merchant storebuilding,J,0
9401,J. H. Schulz auto service station and garage.,J.H. Schulz auto service station andgarage.,H. Schulz auto service station andgarage,J,0
9402,J. H. Schulz bank building. Additions and alterations.,J.H. Schulz bankbuilding.,H. Schulz bankbuilding,J,0
9403,J. Morris residence. Alterations.,J.Morrisresidence.,Morrisresidence,J,0
9404,J. Reich residence.,J.Reichresidence.,Reichresidence,J,0
9405,J.A. Browne residence.,J.A. Browneresidence.,A. Browneresidence,J,0
9406,J.C. Merchant residence.,J.C. Merchantresidence.,C. Merchantresidence,J,0
9407,J.C. Rich residence.,J.C. Richresidence.,C. Richresidence,J,0
9408,J.D. Oppenheimer residence.,J.D. Oppenheimerresidence.,D. Oppenheimerresidence,J,0
9409,J.D. Terrell residence.,J.D. Terrellresidence.,D. Terrellresidence,J,0
9410,J.H. Turner residence (one story).,J.H. Turnerresidence (one story).,H. Turnerresidence (one story),J,0
9411,Lindsay residence.,Lindsay residence,,,0
9412,J.S. Marshall residence.,J.S. Marshallresidence.,S. Marshallresidence,J,0
9413,J.W. Ferguson residence.,J.W. Fergusonresidence.,W. Fergusonresidence,J,0
9414,J.W. Simmons residence.,J.W. Simmonsresidence.,W. Simmonsresidence,J,0
9415,Jack Bennett office building.,Jack Bennett office building,,,0
9416,Jack Bennett office building.,Jack Bennett office building,,,0
9417,James Fenimore Cooper Junior School.,James Fenimore Cooper Junior School,,,0
9418,Unidentified building.,Unidentified building,,,0
9419,Jeremiah Rhodes Junior High School.,Jeremiah Rhodes Junior High School,,,0
9420,Jesse Oppenheimer hunting lodge.,Jesse Oppenheimer hunting lodge,,,0
9421,Jim Wells County Courthouse.,Jim Wells County Courthouse,,,0
9422,John A. Brown residence.,John A.Brownresidence.,Brownresidence,John A,0
9423,John B. Chadwick residence.,John B.Chadwickresidence.,Chadwickresidence,John B,0
9424,John Gaines residence.,John Gaines residence,,,0
9425,John H. Spencer residence. Alterations.,John H.Spencerresidence.,Spencerresidence,John H,0
9426,John L. Hendry III  residence. Additions and alterations.,John L.Hendry IIIresidence.,Hendry IIIresidence,John L,0
9427,John N. Garner residence.,John N.Garnerresidence.,Garnerresidence,John N,0
9428,John R. Walker apartment house (Architects and Engineers building).,John R.Walker apartment house (Architects and Engineersbuilding).,Walker apartment house (Architects and Engineersbuilding),John R,0
9429,John W. Kokernot residence.,John W.Kokernotresidence.,Kokernotresidence,John W,0
9430,Johnson or Johnston residence.,Johnson or Johnston residence,,,0
9431,Johnson residence.,Johnson residence,,,0
9432,Johnson residence.,Johnson residence,,,0
9433,Joseph Rosenfield residence.,Joseph Rosenfield residence,,,0
9434,Joske’s Store.,Joske’s Store,,,0
9435,Julius Seligmann residence (one story).,Julius Seligmann residence (one story),,,0
9436,Kendall Inn. Remodeling.,Kendall Inn,,,0
9437,Kingsville (Kleberg?) County Hospital.,Kingsville (Kleberg?) County Hospital,,,0
9438,Kingsville County Hospital.,Kingsville County Hospital,,,0
9439,Kleberg County Courthouse.,Kleberg County Courthouse,,,0
9440,Knickerbocker residence.,Knickerbocker residence,,,0
9441,Kocurek Lodge.,Kocurek Lodge,,,0
9442,L.A. Schreiner residence.,L.A. Schreinerresidence.,A. Schreinerresidence,L,0
9443,L.E. Cartwright residence.,L.E. Cartwrightresidence.,E. Cartwrightresidence,L,0
9444,Johnson residence.,Johnson residence,,,0
9445,L.J. Kocurek residence.,L.J. Kocurekresidence.,J. Kocurekresidence,L,0
9446,L.J. Kocurek residence.,L.J. Kocurekresidence.,J. Kocurekresidence,L,0
9447,Laredo Building Co. Housing units.,Laredo Building Co.Housing units.,Housing units,Laredo Building Co,0
9448,Laredo National Bank Properties. Survey and Topographic Data.,Laredo National Bank Properties,,,0
9449,"Laredo, Tx. Map of streets and roads.","Laredo, Tx",,,0
9450,"Laredo, Tx. Map.","Laredo, Tx",,,0
9451,Laurel Heights Pharmacy.,Laurel Heights Pharmacy,,,0
9452,Layfayette Ward residence.,Layfayette Ward residence,,,0
9453,Lee Christy residence.,Lee Christy residence,,,0
9454,Lee Christy residence.,Lee Christy residence,,,0
9455,Lewis J. Moorman residence. Addition.,Lewis J.Moormanresidence.,Moormanresidence,Lewis J,0
9456,Lewis J. Moorman tennis court.,Lewis J,,,0
9457,Light Fixture Detail.,Light Fixture Detail,,,0
9458,Live Oak Ranch (Forest Smith ranch).,Live Oak Ranch (Forest Smith ranch),,,0
9459,Lockhill School.,Lockhill School,,,0
9460,Lockhill School. New Building.,Lockhill School.NewBuilding.,NewBuilding,Lockhill School,0
9461,Lone Star Brewery.,Lone Star Brewery,,,0
9462,Lonnie Wright residence.,Lonnie Wright residence,,,0
9463,Los Angeles Municipal Building.  Branch City Hall at San Pedro.,Los Angeles Municipal Building.Branch CityHall at San Pedro.,Branch CityHall at San Pedro,Los Angeles Municipal Building,0
9464,Lost Valley resort hotel.,Lost Valley resort hotel,,,0
9465,Louis Kaplan apartment building and shops.,Louis Kaplan apartment building and shops,,,0
9466,Darby residence.,Darby residence,,,0
9467,M.C. McDonald residence.,M.C. McDonaldresidence.,C. McDonaldresidence,M,0
9468,M.P. Strickland residence (two story).,M.P. Stricklandresidence (two story).,P. Stricklandresidence (two story),M,0
9469,M.W. Cochran residence. Proposed.,M.W. Cochranresidence.,W. Cochranresidence,M,0
9470,M.W. Cochran residence. Proposed.,M.W. Cochranresidence.,W. Cochranresidence,M,0
9471,"Main Savings and Loan Association building (San Antonio, Tex.).","Main Savings and Loan Association building (San Antonio, Tex",,,0
9472,Mannen residence.,Mannen residence,,,0
9473,Marion Koogler McNay Art Institute (Atkinson residence). Remodeling.,Marion Koogler McNay Art Institute (Atkinson residence),,,0
9474,Marion Koogler McNay Art Institute (Atkinson residence). Remodeling.,Marion Koogler McNay Art Institute (Atkinson residence),,,0
9475,"Market and Housing Development (San Antonio, Tex.).","Market and Housing Development (San Antonio, Tex",,,0
9476,Marti Store.,Marti Store,,,0
9477,Martin-Wright Electric Co. building.,Martin-Wright Electric Co.building.,building,Martin-Wright Electric Co,0
9478,Martin-Wright Electric Company building.,Martin-Wright Electric Company building,,,0
9479,Masonic Grand Lodge Building.,Masonic Grand Lodge Building,,,0
9480,Maurice Cochran residence. Proposed.,Maurice Cochran residence,,,0
9481,Mausoleum. Proposed.,Mausoleum,,,0
9482,Maverick-Clark Building (Ormsby Chevrolet Building). Plat.,Maverick-Clark Building (Ormsby Chevrolet Building),,,0
9483,McMurry College. Topographic Map.,McMurry College,,,0
9484,Meador Motor Company building.,Meador Motor Company building,,,0
9485,Medi-Dent Building.  Meeks and Spann Office.,Medi-Dent Building.Meeks and SpannOffice.,Meeks and SpannOffice,Medi-Dent Building,0
9486,Medi-Dent Building. Manconi office.,Medi-Dent Building.Manconioffice.,Manconioffice,Medi-Dent Building,0
9487,Medi-Dent building. Romo Office.,Medi-Dent building.RomoOffice.,RomoOffice,Medi-Dent building,0
9488,"Medi-Dent, Inc. medical office building. Proposed.","Medi-Dent, Inc.medical officebuilding.",medical officebuilding,"Medi-Dent, Inc",0
9489,Medina Electric Cooperative building.,Medina Electric Cooperative building,,,0
9490,Medina Hospital. Proposed Addition.,Medina Hospital,,,0
9491,"Memorial Museum (Temple, Tex.).","Memorial Museum (Temple, Tex",,,0
9492,Memorial Park Co. Chapel.,Memorial Park Co.Chapel.,Chapel,Memorial Park Co,0
9493,Menger Hotel. Additions.,Menger Hotel,,,0
9494,Menger Hotel. Additions.,Menger Hotel,,,0
9495,Menger Hotel. Additions.,Menger Hotel,,,0
9496,"Mercantile Bank and Trust  building (San Antonio, Tex.).","Mercantile Bank and Trust  building (San Antonio, Tex",,,0
9497,"Mercantile Bank and Trust building (San Antonio, Tex.).","Mercantile Bank and Trust building (San Antonio, Tex",,,0
9498,"Midland National bank. Motor bank, parking garage, and office building. Proposed.","Midland National bank.Motor bank, parking garage, and officebuilding.","Motor bank, parking garage, and officebuilding",Midland National bank,0
9499,Mission Burial Park North. Mausoleum.,Mission Burial Park North,,,0
9500,Mission Espiritu Santo de Zuniga. Restoration.,Mission Espiritu Santo de Zuniga,,,0
9501,Mission Espiritu Santo de Zuniga. Restoration.,Mission Espiritu Santo de Zuniga,,,0
9502,Mission Nuestra Senora de la Purissima Concepcion de Acuna. Restoration and addition.,Mission Nuestra Senora de la Purissima Concepcion de Acuna,,,0
9503,Mission San Antonio de Valero (The Alamo)? Base for crucifix.,Mission San Antonio de Valero (The Alamo)? Base for crucifix,,,0
9504,Mission San Antonio de Valero (The Alamo)? Bathrooms renovation.,Mission San Antonio de Valero (The Alamo)? Bathrooms renovation,,,0
9505,Mission San Antonio de Valero (The Alamo).,Mission San Antonio de Valero (The Alamo),,,0
9506,Mission San Antonio de Valero (The Alamo).  Front facade measured drawings.,Mission San Antonio de Valero (The Alamo),,,0
9507,Mission San Antonio de Valero (The Alamo).  Front facade sketches and renderings.,Mission San Antonio de Valero (The Alamo),,,0
9508,Mission San Antonio de Valero (The Alamo).  Reconstruction.,Mission San Antonio de Valero (The Alamo),,,0
9509,Mission San Jose y San Miguel de Aguayo. Rose window. Restoration. Details.,Mission San Jose y San Miguel de Aguayo,,,0
9510,Missionary Servant of St. Anthony. Convent and novitiate.,Missionary Servant of St,,,0
9511,Missionary Servant of St. Anthony. Convent and novitiate.,Missionary Servant of St,,,0
9512,Mistletoe Creameries Plant.,Mistletoe Creameries Plant,,,0
9513,Montgomery residence. Addition.,Montgomery residence,,,0
9514,Mortgage Investment Corp. Addition.,Mortgage Investment Corp,,,0
9515,Mortgage Investment Corp. Addition.,Mortgage Investment Corp,,,0
9516,Mortgage Investment Corp. Addition.,Mortgage Investment Corp,,,0
9517,Mosle Office Space (100 National Bank of Commerce Building).,Mosle Office Space (100 National Bank of Commerce Building),,,0
